  2023-03-04 08:50:06,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =280,rankZ= 93,Z_acc= 0.59533074,Z_RI= 0.99190661,Z_Precisions= 0.59833333,Z_Recalls= NaN,Z_F1= 0.55800938 
  2023-03-04 09:48:40,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 3,pro_acc= 0.55511811,pro_RI= 0.99101249,pro_Precisions= 0.56565657,pro_Recalls= NaN,pro_F1= 0.51209060 
  2023-03-04 09:48:40,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 3,Z_acc= 0.57587549,Z_RI= 0.99151751,Z_Precisions= 0.58333333,Z_Recalls= NaN,Z_F1= 0.53496032 
  2023-03-04 10:19:39,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 94,pro_acc= 0.55252918,pro_RI= 0.99105058,pro_Precisions= 0.55666667,pro_Recalls= NaN,pro_F1= 0.51189827 
  2023-03-04 10:19:39,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 94,Z_acc= 0.58754864,Z_RI= 0.99175097,Z_Precisions= 0.59333333,Z_Recalls= NaN,Z_F1= 0.55005556 
  2023-03-04 10:50:33,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 89,pro_acc= 0.54724409,pro_RI= 0.99085342,pro_Precisions= 0.55218855,pro_Recalls= NaN,pro_F1= 0.50495503 
  2023-03-04 10:50:33,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 89,Z_acc= 0.56420233,Z_RI= 0.99128405,Z_Precisions= 0.57333333,Z_Recalls= NaN,Z_F1= 0.52482295 
  2023-03-04 11:21:33,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 31,pro_acc= 0.52140078,pro_RI= 0.99042802,pro_Precisions= 0.52833333,pro_Recalls= NaN,pro_F1= 0.48006105 
  2023-03-04 11:21:33,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =220,rankZ= 31,Z_acc= 0.59143969,Z_RI= 0.99182879,Z_Precisions= 0.60000000,Z_Recalls= NaN,Z_F1= 0.56642857 
  
