 Iter = 20,  obj = 110.62892677  ,rankZ= 30 
 Iter = 21,  obj = 114.86981948  ,rankZ= 30 
 Iter = 22,  obj = 306.21996705  ,rankZ= 30 
 Iter = 23,  obj = 112.97486315  ,rankZ= 30 
 Iter = 24,  obj = 112.18283957  ,rankZ= 30 
 Iter = 25,  obj = 112.97486315  ,rankZ= 30 
 Iter = 26,  obj = 112.97486315  ,rankZ= 30 
 Iter = 27,  obj = 110.62892677  ,rankZ= 30 
 Iter = 28,  obj = 114.05723420  ,rankZ= 30 
 Iter = 29,  obj = 114.05723420  ,rankZ= 30 
 Iter = 30,  obj = 112.97486315  ,rankZ= 30 
 
